year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,3,INVSTG,F,BLK,Juvenile,199
2016,3,INVSTG,F,I,50-60,1
2016,3,INVSTG,F,WHT,19-30,8
2016,3,INVSTG,F,WHT,30-40,3
2016,3,INVSTG,F,WHT,40-50,1
2016,3,INVSTG,F,WHT,60 or older,1
2016,3,INVSTG,F,WWH,19-30,4
2016,3,INVSTG,F,WWH,40-50,1
2016,3,INVSTG,F,WWH,Juvenile,1
2016,3,INVSTG,M,API,19-30,7
2016,3,INVSTG,M,API,30-40,3
2016,3,INVSTG,M,API,40-50,2
2016,3,INVSTG,M,API,50-60,5
2016,3,INVSTG,M,API,60 or older,2
2016,3,INVSTG,M,API,Juvenile,6
2016,3,INVSTG,M,BLK,19-30,1535
2016,3,INVSTG,M,BLK,30-40,561
2016,3,INVSTG,M,BLK,40-50,342
2016,3,INVSTG,M,BLK,50-60,255
2016,3,INVSTG,M,BLK,60 or older,69
2016,3,INVSTG,M,BLK,Juvenile,871
2016,3,INVSTG,M,I,19-30,3
2016,3,INVSTG,M,I,30-40,1
2016,3,INVSTG,M,I,Juvenile,2
2016,3,INVSTG,M,P,19-30,1
2016,3,INVSTG,M,WHT,19-30,18
2016,3,INVSTG,M,WHT,30-40,9
2016,3,INVSTG,M,WHT,40-50,4
2016,3,INVSTG,M,WHT,50-60,2
2016,3,INVSTG,M,WHT,Juvenile,2
2016,3,INVSTG,M,WWH,19-30,11
2016,3,INVSTG,M,WWH,30-40,7
2016,3,INVSTG,M,WWH,40-50,1
2016,3,INVSTG,M,WWH,50-60,1
2016,3,INVSTG,M,WWH,60 or older,2
2016,3,INVSTG,M,WWH,Juvenile,2
2016,3,INVSTG,X,API,30-40,1
2016,3,INVSTG,X,BLK,19-30,1
2016,3,INVSTG,X,WHT,30-40,1
2016,3,INVSTG,X,WHT,Juvenile,1
2016,4,GANGLTR,F,BLK,19-30,10
2016,4,GANGLTR,F,BLK,30-40,1
2016,4,GANGLTR,F,BLK,40-50,1
2016,4,GANGLTR,F,BLK,50-60,4
2016,4,GANGLTR,F,BLK,Juvenile,7
2016,4,GANGLTR,F,WHT,40-50,2
