year,district,contact_type_cd,age_group,a_count
2016,17,INVSTG,40-50,204
2016,17,INVSTG,50-60,118
2016,17,INVSTG,60 or older,29
2016,17,INVSTG,Juvenile,528
2016,18,GANGLTR,19-30,158
2016,18,GANGLTR,30-40,95
2016,18,GANGLTR,40-50,118
2016,18,GANGLTR,50-60,96
2016,18,GANGLTR,60 or older,23
2016,18,GANGLTR,Juvenile,37
2016,18,INVSTG,19-30,468
2016,18,INVSTG,30-40,241
2016,18,INVSTG,40-50,200
2016,18,INVSTG,50-60,191
2016,18,INVSTG,60 or older,45
2016,18,INVSTG,Juvenile,308
2016,19,GANGLTR,19-30,14
2016,19,GANGLTR,30-40,3
2016,19,GANGLTR,40-50,1
2016,19,GANGLTR,50-60,2
2016,19,GANGLTR,Juvenile,30
2016,19,INVSTG,19-30,1118
2016,19,INVSTG,30-40,389
2016,19,INVSTG,40-50,309
2016,19,INVSTG,50-60,341
2016,19,INVSTG,60 or older,80
2016,19,INVSTG,Juvenile,467
2016,20,GANGLTR,19-30,18
2016,20,GANGLTR,30-40,15
2016,20,GANGLTR,40-50,7
2016,20,GANGLTR,50-60,26
2016,20,GANGLTR,60 or older,6
2016,20,GANGLTR,Juvenile,11
2016,20,INVSTG,19-30,529
2016,20,INVSTG,30-40,262
2016,20,INVSTG,40-50,179
2016,20,INVSTG,50-60,194
2016,20,INVSTG,60 or older,56
2016,20,INVSTG,Juvenile,524
2016,22,GANGLTR,19-30,21
2016,22,GANGLTR,30-40,10
2016,22,GANGLTR,40-50,23
2016,22,GANGLTR,50-60,16
2016,22,GANGLTR,60 or older,4
2016,22,GANGLTR,Juvenile,4
2016,22,INVSTG,19-30,883
2016,22,INVSTG,30-40,241
2016,22,INVSTG,40-50,151
2016,22,INVSTG,50-60,148
2016,22,INVSTG,60 or older,39
2016,22,INVSTG,Juvenile,785
2016,24,GANGLTR,19-30,96
2016,24,GANGLTR,30-40,18
2016,24,GANGLTR,40-50,5
2016,24,GANGLTR,Juvenile,70
2016,24,INVSTG,19-30,1846
2016,24,INVSTG,30-40,615
2016,24,INVSTG,40-50,365
2016,24,INVSTG,50-60,234
2016,24,INVSTG,60 or older,77
2016,24,INVSTG,Juvenile,668
2016,25,GANGLTR,19-30,136
2016,25,GANGLTR,30-40,35
2016,25,GANGLTR,40-50,37
2016,25,GANGLTR,50-60,22
2016,25,GANGLTR,60 or older,3
2016,25,GANGLTR,Juvenile,38
2016,25,INVSTG,19-30,2120
2016,25,INVSTG,30-40,794
2016,25,INVSTG,40-50,520
2016,25,INVSTG,50-60,337
2016,25,INVSTG,60 or older,81
2016,25,INVSTG,Juvenile,1347
2016,31,GANGLTR,19-30,4
2016,31,GANGLTR,30-40,1
2016,31,GANGLTR,Juvenile,3
2016,31,INVSTG,19-30,177
2016,31,INVSTG,30-40,68
2016,31,INVSTG,40-50,39
2016,31,INVSTG,50-60,38
2016,31,INVSTG,60 or older,7
2016,31,INVSTG,Juvenile,82
2016,41,INVSTG,19-30,12
2016,41,INVSTG,30-40,3
2016,41,INVSTG,40-50,4
2016,41,INVSTG,Juvenile,8
2016,51,INVSTG,30-40,1
2017,1,INVSTG,19-30,697
2017,1,INVSTG,30-40,319
2017,1,INVSTG,40-50,260
2017,1,INVSTG,50-60,279
2017,1,INVSTG,60 or older,76
2017,1,INVSTG,Juvenile,313
2017,2,GANGLTR,19-30,133
2017,2,GANGLTR,30-40,21
2017,2,GANGLTR,40-50,27
2017,2,GANGLTR,50-60,16
2017,2,GANGLTR,60 or older,4
2017,2,GANGLTR,Juvenile,67
2017,2,INVSTG,19-30,1186
2017,2,INVSTG,30-40,598
2017,2,INVSTG,40-50,669
2017,2,INVSTG,50-60,833
2017,2,INVSTG,60 or older,263
2017,2,INVSTG,Juvenile,616
2017,3,GANGLTR,19-30,217
2017,3,GANGLTR,30-40,53
2017,3,GANGLTR,40-50,13
2017,3,GANGLTR,50-60,14
2017,3,GANGLTR,60 or older,4
2017,3,GANGLTR,Juvenile,137
2017,3,INVSTG,19-30,1849
2017,3,INVSTG,30-40,681
2017,3,INVSTG,40-50,381
2017,3,INVSTG,50-60,331
2017,3,INVSTG,60 or older,96
2017,3,INVSTG,Juvenile,945
2017,4,GANGLTR,19-30,276
2017,4,GANGLTR,30-40,110
2017,4,GANGLTR,40-50,127
2017,4,GANGLTR,50-60,99
2017,4,GANGLTR,60 or older,18
2017,4,GANGLTR,Juvenile,120
2017,4,INVSTG,19-30,3827
2017,4,INVSTG,30-40,1357
2017,4,INVSTG,40-50,920
2017,4,INVSTG,50-60,794
2017,4,INVSTG,60 or older,246
2017,4,INVSTG,Juvenile,1918
2017,5,GANGLTR,19-30,88
2017,5,GANGLTR,30-40,44
2017,5,GANGLTR,40-50,36
2017,5,GANGLTR,50-60,40
2017,5,GANGLTR,60 or older,18
2017,5,GANGLTR,Juvenile,15
2017,5,INVSTG,19-30,2036
2017,5,INVSTG,30-40,689
2017,5,INVSTG,40-50,480
2017,5,INVSTG,50-60,385
2017,5,INVSTG,60 or older,119
2017,5,INVSTG,Juvenile,1005
2017,6,GANGLTR,19-30,551
2017,6,GANGLTR,30-40,247
2017,6,GANGLTR,40-50,128
2017,6,GANGLTR,50-60,162
2017,6,GANGLTR,60 or older,35
2017,6,GANGLTR,Juvenile,111
2017,6,INVSTG,19-30,2867
2017,6,INVSTG,30-40,968
2017,6,INVSTG,40-50,499
2017,6,INVSTG,50-60,489
2017,6,INVSTG,60 or older,143
2017,6,INVSTG,Juvenile,1121
2017,7,GANGLTR,19-30,55
2017,7,GANGLTR,30-40,38
2017,7,GANGLTR,40-50,24
2017,7,GANGLTR,50-60,14
2017,7,GANGLTR,60 or older,1
2017,7,GANGLTR,Juvenile,13
2017,7,INVSTG,19-30,3843
2017,7,INVSTG,30-40,1356
2017,7,INVSTG,40-50,701
2017,7,INVSTG,50-60,535
2017,7,INVSTG,60 or older,117
2017,7,INVSTG,Juvenile,1694
2017,8,GANGLTR,19-30,457
2017,8,GANGLTR,30-40,79
2017,8,GANGLTR,40-50,21
2017,8,GANGLTR,50-60,17
2017,8,GANGLTR,60 or older,1
2017,8,GANGLTR,Juvenile,187
2017,8,INVSTG,19-30,2311
2017,8,INVSTG,30-40,754
2017,8,INVSTG,40-50,480
2017,8,INVSTG,50-60,266
2017,8,INVSTG,60 or older,71
2017,8,INVSTG,Juvenile,1550
2017,9,GANGLTR,19-30,57
2017,9,GANGLTR,30-40,7
2017,9,GANGLTR,40-50,2
2017,9,GANGLTR,Juvenile,49
2017,9,INVSTG,19-30,3044
2017,9,INVSTG,30-40,1040
2017,9,INVSTG,40-50,700
2017,9,INVSTG,50-60,441
2017,9,INVSTG,60 or older,126
2017,9,INVSTG,Juvenile,1680
2017,10,GANGLTR,19-30,108
2017,10,GANGLTR,30-40,23
2017,10,GANGLTR,40-50,14
2017,10,GANGLTR,50-60,11
2017,10,GANGLTR,60 or older,2
2017,10,GANGLTR,Juvenile,86
2017,10,INVSTG,19-30,3110
2017,10,INVSTG,30-40,1071
2017,10,INVSTG,40-50,617
2017,10,INVSTG,50-60,573
2017,10,INVSTG,60 or older,145
2017,10,INVSTG,Juvenile,1760
2017,11,GANGLTR,19-30,327
2017,11,GANGLTR,30-40,76
2017,11,GANGLTR,40-50,42
2017,11,GANGLTR,50-60,27
2017,11,GANGLTR,60 or older,4
2017,11,GANGLTR,Juvenile,105
2017,11,INVSTG,19-30,3670
2017,11,INVSTG,30-40,1619
2017,11,INVSTG,40-50,1218
2017,11,INVSTG,50-60,961
2017,11,INVSTG,60 or older,243
2017,11,INVSTG,Juvenile,1335
2017,12,GANGLTR,19-30,215
2017,12,GANGLTR,30-40,66
2017,12,GANGLTR,40-50,40
2017,12,GANGLTR,50-60,41
2017,12,GANGLTR,60 or older,6
2017,12,GANGLTR,Juvenile,107
2017,12,INVSTG,19-30,1322
2017,12,INVSTG,30-40,539
2017,12,INVSTG,40-50,437
2017,12,INVSTG,50-60,390
2017,12,INVSTG,60 or older,137
2017,12,INVSTG,Juvenile,796
2017,14,GANGLTR,19-30,15
2017,14,GANGLTR,60 or older,1
2017,14,GANGLTR,Juvenile,18
2017,14,INVSTG,19-30,938
2017,14,INVSTG,30-40,334
2017,14,INVSTG,40-50,199
2017,14,INVSTG,50-60,137
2017,14,INVSTG,60 or older,49
2017,14,INVSTG,Juvenile,549
2017,15,GANGLTR,19-30,206
2017,15,GANGLTR,30-40,64
2017,15,GANGLTR,40-50,24
2017,15,GANGLTR,50-60,12
2017,15,GANGLTR,60 or older,6
2017,15,GANGLTR,Juvenile,102
2017,15,INVSTG,19-30,2650
2017,15,INVSTG,30-40,1079
2017,15,INVSTG,40-50,664
2017,15,INVSTG,50-60,544
2017,15,INVSTG,60 or older,163
2017,15,INVSTG,Juvenile,1084
2017,16,GANGLTR,Juvenile,3
2017,16,INVSTG,19-30,834
2017,16,INVSTG,30-40,385
2017,16,INVSTG,40-50,293
2017,16,INVSTG,50-60,255
2017,16,INVSTG,60 or older,98
2017,16,INVSTG,Juvenile,645
2017,17,INVSTG,19-30,710
2017,17,INVSTG,30-40,252
2017,17,INVSTG,40-50,200
2017,17,INVSTG,50-60,191
2017,17,INVSTG,60 or older,44
2017,17,INVSTG,Juvenile,544
2017,18,GANGLTR,19-30,99
2017,18,GANGLTR,30-40,68
2017,18,GANGLTR,40-50,82
2017,18,GANGLTR,50-60,89
2017,18,GANGLTR,60 or older,20
2017,18,GANGLTR,Juvenile,21
2017,18,INVSTG,19-30,666
2017,18,INVSTG,30-40,331
2017,18,INVSTG,40-50,337
2017,18,INVSTG,50-60,286
2017,18,INVSTG,60 or older,79
2017,18,INVSTG,Juvenile,438
2017,19,GANGLTR,19-30,110
2017,19,GANGLTR,30-40,12
2017,19,GANGLTR,40-50,4
2017,19,GANGLTR,50-60,5
2017,19,GANGLTR,Juvenile,112
2017,19,INVSTG,19-30,1189
2017,19,INVSTG,30-40,435
2017,19,INVSTG,40-50,331
2017,19,INVSTG,50-60,324
2017,19,INVSTG,60 or older,91
2017,19,INVSTG,Juvenile,544
2017,20,GANGLTR,19-30,35
2017,20,GANGLTR,30-40,52
2017,20,GANGLTR,40-50,17
2017,20,GANGLTR,50-60,48
2017,20,GANGLTR,60 or older,3
2017,20,GANGLTR,Juvenile,8
